user_id,bill_month,due_date,paid_date,amount_due,amount_paid,provider,status,source_type
u008,2026-05,2026-05-15,2026-05-13,1680,1680,WBSEDCL,PAID,synthetic
u008,2026-06,2026-06-15,2026-06-14,1710,1710,WBSEDCL,PAID,synthetic
u008,2026-07,2026-07-15,2026-07-14,1690,1690,WBSEDCL,PAID,synthetic
u009,2026-02,2026-02-13,2026-02-18,690,690,MP Electricity,PAID,synthetic
u009,2026-03,2026-03-13,2026-03-22,760,760,MP Electricity,PAID,synthetic
u009,2026-04,2026-04-13,2026-04-13,720,720,MP Electricity,PAID,synthetic
u009,2026-05,2026-05-13,2026-05-27,800,500,MP Electricity,PARTIAL,synthetic
u009,2026-06,2026-06-13,2026-06-16,780,780,MP Electricity,PAID,synthetic
u009,2026-07,2026-07-13,2026-07-20,830,830,MP Electricity,PAID,synthetic
u010,2026-02,2026-02-15,2026-02-14,1030,1030,DGVCL,PAID,synthetic
u010,2026-03,2026-03-15,2026-03-15,980,980,DGVCL,PAID,synthetic
u010,2026-04,2026-04-15,2026-04-14,1090,1090,DGVCL,PAID,synthetic
u010,2026-05,2026-05-15,2026-05-15,1120,1120,DGVCL,PAID,synthetic
u010,2026-06,2026-06-15,2026-06-16,1050,1050,DGVCL,PAID,synthetic
u010,2026-07,2026-07-15,2026-07-15,1070,1070,DGVCL,PAID,synthetic
u011,2026-02,2026-02-14,2026-02-12,1340,1340,APDCL,PAID,synthetic
u011,2026-03,2026-03-14,2026-03-13,1390,1390,APDCL,PAID,synthetic
u011,2026-04,2026-04-14,2026-04-13,1420,1420,APDCL,PAID,synthetic
u011,2026-05,2026-05-14,2026-05-13,1470,1470,APDCL,PAID,synthetic
u011,2026-06,2026-06-14,2026-06-13,1490,1490,APDCL,PAID,synthetic
u011,2026-07,2026-07-14,2026-07-13,1450,1450,APDCL,PAID,synthetic
u012,2026-02,2026-02-12,,650,0,JBVNL,MISSED,synthetic
u012,2026-03,2026-03-12,2026-03-26,710,710,JBVNL,PAID,synthetic
u012,2026-04,2026-04-12,,690,0,JBVNL,MISSED,synthetic
u012,2026-05,2026-05-12,2026-05-28,740,300,JBVNL,PARTIAL,synthetic
u012,2026-06,2026-06-12,2026-06-25,720,720,JBVNL,PAID,synthetic
u012,2026-07,2026-07-12,,760,0,JBVNL,MISSED,synthetic
